rank	State	Pop	Growth	Pop2021	Pop2010	growthSince2010	Percent	density		FIPS	Province_State	Country_Region	Date	Lat	Long	Combined_Key	People_Fully_Vaccinated	People_Partially_Vaccinated	Pop
24	Alabama	4949697	0.0031	4934193	4785437	0.0343	0.0147	97.7332		1	Alabama	US	4/25/22	32.3182	-86.9023	"Alabama, US"	2502265	569294	4949697
49	Alaska	720763	-0.005	724357	713910	0.0096	0.0021	1.2631		2	Alaska	US	4/25/22	61.3707	-152.4044	"Alaska, US"	455104	54797	720763
14	Arizona	7640796	0.016	7520103	6407172	0.1925	0.0227	67.2641		4	Arizona	US	4/25/22	33.7298	-111.4312	"Arizona, US"	4975298	832754	7640796
34	Arkansas	3042017	0.0027	3033946	2921964	0.0411	0.0091	58.461		5	Arkansas	US	4/25/22	34.9697	-92.3731	"Arkansas, US"	1639754	374277	3042017
1	California	39664128	0.0013	39613493	37319502	0.0628	0.118	254.6179		6	California	US	4/25/22	36.1162	-119.6816	"California, US"	28424824	4587785	39664128
20	Colorado	5961083	0.0114	5893634	5047349	0.181	0.0177	57.5161		8	Colorado	US	4/25/22	39.0598	-105.3111	"Colorado, US"	4038652	525286	5961083
29	Connecticut	3546588	-0.0018	3552821	3579114	-0.0091	0.0106	732.4634		9	Connecticut	US	4/25/22	41.5978	-72.7554	"Connecticut, US"	2818199	582298	3546588
46	Delaware	998619	0.0084	990334	899593	0.1101	0.003	512.3751		10	Delaware	US	4/25/22	39.3185	-75.5071	"Delaware, US"	671335	136302	998619
50	District of Columbia	718355	0.0059	714153	605226	0.1869	0.0021	11776.3115		11	District of Columbia	US	4/25/22	38.8974	-77.0268	"District of Columbia, US"	668383	168699	718355
3	Florida	22177997	0.0106	21944577	18845537	0.1768	0.066	413.5757		12	Florida	US	4/25/22	27.7663	-81.6868	"Florida, US"	14361175	2641875	22177997
8	Georgia	10936299	0.0098	10830007	9711881	0.1261	0.0325	190.1535		13	Georgia	US	4/25/22	33.0406	-83.6431	"Georgia, US"	5796628	1132580	10936299
41	Hawaii	1401709	-0.0034	1406430	1363963	0.0277	0.0042	218.2328		15	Hawaii	US	4/25/22	21.0943	-157.4983	"Hawaii, US"	1097822	101570	1401709
39	Idaho	1896652	0.0196	1860123	1570746	0.2075	0.0056	22.9499		16	Idaho	US	4/25/22	44.2405	-114.4788	"Idaho, US"	964612	126032	1896652
6	Illinois	12518071	-0.0041	12569321	12840503	-0.0251	0.0372	225.4736		17	Illinois	US	4/25/22	40.3495	-88.9861	"Illinois, US"	8691336	1009478	12518071
