FIPS	Province_State	Country_Region	Date	Lat	Long	Combined_Key	People_Fully_Vaccinated	People_Partially_Vaccinated	Pop
1	Alabama	US	4/25/22	32.3182	-86.9023	Alabama, US	2502265	569294	4949697
2	Alaska	US	4/25/22	61.3707	-152.4044	Alaska, US	455104	54797	720763
4	Arizona	US	4/25/22	33.7298	-111.4312	Arizona, US	4975298	832754	7640796
5	Arkansas	US	4/25/22	34.9697	-92.3731	Arkansas, US	1639754	374277	3042017
6	California	US	4/25/22	36.1162	-119.6816	California, US	28424824	4587785	39664128
8	Colorado	US	4/25/22	39.0598	-105.3111	Colorado, US	4038652	525286	5961083
9	Connecticut	US	4/25/22	41.5978	-72.7554	Connecticut, US	2818199	582298	3546588
10	Delaware	US	4/25/22	39.3185	-75.5071	Delaware, US	671335	136302	998619
11	District of Columbia	US	4/25/22	38.8974	-77.0268	District of Columbia, US	668383	168699	718355
12	Florida	US	4/25/22	27.7663	-81.6868	Florida, US	14361175	2641875	22177997
13	Georgia	US	4/25/22	33.0406	-83.6431	Georgia, US	5796628	1132580	10936299
15	Hawaii	US	4/25/22	21.0943	-157.4983	Hawaii, US	1097822	101570	1401709
16	Idaho	US	4/25/22	44.2405	-114.4788	Idaho, US	964612	126032	1896652
17	Illinois	US	4/25/22	40.3495	-88.9861	Illinois, US	8691336	1009478	12518071
18	Indiana	US	4/25/22	39.8494	-86.2583	Indiana, US	3712192	444833	6842385
19	Iowa	US	4/25/22	42.0115	-93.2105	Iowa, US	1951515	189619	3174426
20	Kansas	US	4/25/22	38.5266	-96.7265	Kansas, US	1785962	380911	2919179
21	Kentucky	US	4/25/22	37.6681	-84.6701	Kentucky, US	2560394	391658	4487233
22	Louisiana	US	4/25/22	31.1695	-91.8678	Louisiana, US	2483512	349408	4616106
23	Maine	US	4/25/22	44.6939	-69.3819	Maine, US	1067096	145736	1359677
24	Maryland	US	4/25/22	39.0639	-76.8021	Maryland, US	4600541	655115	6075314
25	Massachusetts	US	4/25/22	42.2302	-71.5301	Massachusetts, US	5430390	1321672	6922107
26	Michigan	US	4/25/22	43.3266	-84.5361	Michigan, US	5999089	681027	9995212
27	Minnesota	US	4/25/22	45.6945	-93.9002	Minnesota, US	3895625	334004	5739781
28	Mississippi	US	4/25/22	32.7416	-89.6787	Mississippi, US	1539752	231212	2961536
29	Missouri	US	4/25/22	38.4561	-92.2884	Missouri, US	3497446	621897	6184843
30	Montana	US	4/25/22	46.9219	-110.4544	Montana, US	605556	90515	1093117
31	Nebraska	US	4/25/22	41.1254	-98.2681	Nebraska, US	1228118	129931	1960790
32	Nevada	US	4/25/22	38.3135	-117.0554	Nevada, US	1869800	444083	3238601
33	New Hampshire	US	4/25/22	43.4525	-71.5639	New Hampshire, US	952506	241215	1378449
34	New Jersey	US	4/25/22	40.2989	-74.521	New Jersey, US	6835877	1309300	8870685
35	New Mexico	US	4/25/22	34.8405	-106.2485	New Mexico, US	1487500	346782	2109093
36	New York	US	4/25/22	42.1657	-74.9481	New York, US	14934973	2584023	19223191
37	North Carolina	US	4/25/22	35.6301	-79.8064	North Carolina, US	6482692	2420961	10807491
38	North Dakota	US	4/25/22	47.5289	-99.784	North Dakota, US	418047	75877	774008
39	Ohio	US	4/25/22	40.3888	-82.7649	Ohio, US	6816876	603482	11727377
40	Oklahoma	US	4/25/22	35.5653	-96.9289	Oklahoma, US	2259969	548444	4007179
41	Oregon	US	4/25/22	44.572	-122.0709	Oregon, US	2932596	347991	4325290
42	Pennsylvania	US	4/25/22	40.5908	-77.2098	Pennsylvania, US	8737640	2104937	12805190
72	Puerto Rico	US	4/25/22	18.2208	-66.5901	Puerto Rico, US	2675569	381446	3194714
44	Rhode Island	US	4/25/22	41.6809	-71.5118	Rhode Island, US	872217	169152	1062583
45	South Carolina	US	4/25/22	33.8569	-80.945	South Carolina, US	2916106	548081	5342388
46	South Dakota	US	4/25/22	44.2998	-99.4388	South Dakota, US	541894	133404	902542
47	Tennessee	US	4/25/22	35.7478	-86.6923	Tennessee, US	3716928	523592	7001803
48	Texas	US	4/25/22	31.0545	-97.5635	Texas, US	17776554	3372883	30097526
49	Utah	US	4/25/22	40.15	-111.8624	Utah, US	2057203	250859	3363182
50	Vermont	US	4/25/22	44.0459	-72.7107	Vermont, US	505562	76789	622882
51	Virginia	US	4/25/22	37.7693	-78.17	Virginia, US	6284511	1065416	8638218
53	Washington	US	4/25/22	47.4009	-121.4905	Washington, US	5518484	5698441	7887965
54	West Virginia	US	4/25/22	38.4912	-80.9545	West Virginia, US	1030401	132788	1755715
55	Wisconsin	US	4/25/22	44.2685	-89.6165	Wisconsin, US	3812498	365421	5867518
56	Wyoming	US	4/25/22	42.756	-107.3025	Wyoming, US	298011	41850	582233
